	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Staphylococcus_aureus	641008.023482689	-0.179300213583895	0.183651441936104	-0.976307137551783	0.328912283965396	0.777164188604588	0.4866655615	0.491781282288462
2	Staphylococcus_epidermidis	6615.60911058455	-0.18181381918012	0.527510393153101	-0.344663956464175	0.730347018126124	0.933520477330862	0.0136503141842105	0.0113498168846154
3	Staphylococcus_haemolyticus	123.395806747714	-1.20283442360106	0.454123034885063	-2.64869722784595	0.00808026859370214	0.16226401263601	0.000355345447368421	0.000107377
4	Staphylococcus_capitis	52.9514010946948	-1.54915014861753	0.388943260232104	-3.98297208619342	6.80587520193701e-05	0.00562876814996563	6.32063947368421e-05	2.17521346153846e-05
5	Staphylococcus_hominis	108.193284986808	-0.815746066985362	0.405701131660039	-2.01070690546884	0.0443564242105044	0.369366196114475	0.000124600921052632	9.99491538461538e-05
6	Staphylococcus_xylosus	22.4913597608032	-0.248991768529909	0.264274257661233	-0.942171858634395	0.346104659169043	0.785208762291863	1.88062631578947e-05	1.70505769230769e-05
7	Staphylococcus_simulans	227.886191500007	-3.75232066905083	0.541398260761618	-6.93079557324809	4.18480419304582e-12	7.61425122924687e-09	0.00789706634210526	9.88952307692308e-05
8	Staphylococcus_kloosii	5.81986182774785	-0.243933357025878	0.244821635529606	-0.99637173200887	0.31906956250718	0.770511562514789	5.26855263157895e-06	4.70803846153846e-06
9	Staphylococcus_lugdunensis	44.4758741156822	-2.06355279800641	0.392868344872987	-5.25253007766138	1.50023955329032e-07	4.54947644535289e-05	0.000154393894736842	2.42573269230769e-05
10	Staphylococcus_nepalensis	9.23798680866488	-0.48075838408649	0.217855725563346	-2.20677415222075	0.0273298417297253	0.29511363220911	8.97302631578947e-06	9.01919230769231e-06
11	Staphylococcus_schleiferi	7.40210490110365	-0.392074730228548	0.246575301893044	-1.59008111201103	0.111816522888197	0.530508900639046	6.42665789473684e-06	7.16092307692308e-06
12	Staphylococcus_caprae	12.2286551601707	-0.637287730048317	0.323322557813515	-1.97105866772182	0.0487171656746622	0.381736726495362	1.29338947368421e-05	7.328e-06
13	Staphylococcus_sciuri	9.0317425668823	-0.0935411789268004	0.203008594903987	-0.460774475933104	0.644960415781279	0.911570059842267	7.39147368421053e-06	2.034275e-05
14	Staphylococcus_pasteuri	17.9392191886063	-1.2353427045421	0.306187654406854	-4.03459344869799	5.46969188063631e-05	0.00473909732229418	2.12949736842105e-05	1.05973846153846e-05
15	Staphylococcus_succinus	6.55806981510399	-0.489336333462995	0.197562567427134	-2.4768676568423	0.0132541037953476	0.213414529695884	6.37610526315789e-06	6.39780769230769e-06
16	Staphylococcus_equorum	6.78117965455326	-0.589689475803408	0.28593090378669	-2.06234956765404	0.0391744670633118	0.34602074343269	1.12205263157895e-05	9.76582692307692e-06
17	Staphylococcus_stepanovicii	7.56143051786943	-0.250096548098294	0.214488030823497	-1.16601633731301	0.243607840174123	0.713759203215485	6.75118421052632e-06	6.51515384615385e-06
18	Staphylococcus_argenteus	6.41377226033792	0.433461107305953	0.262013161967353	1.65434859856377	0.0980567039005089	0.500460512614238	2.05327631578947e-05	7.60723076923077e-06
19	Staphylococcus_cohnii	23.0640033946249	-1.63333523861738	0.27939493315848	-5.84597301086671	5.03615700990942e-09	2.03628615100671e-06	0.00892047671052632	1.24123076923077e-05
20	Staphylococcus_warneri	9.73803226524347	-0.62947852968247	0.377688891292691	-1.66665884063467	0.0955822615783258	0.49588869962259	9.01255789473684e-05	1.45345769230769e-05
21	Staphylococcus_agnetis	5.07810812636356	-0.0523258662090238	0.312732328977809	-0.167318378563723	0.867119543976803	0.977221437142021	4.03107894736842e-06	3.9205e-06
22	Staphylococcus_simiae	8.64594548418323	-0.309339162137004	0.223109582466499	-1.38648980791066	0.16559739031976	0.636334639254071	1.06367631578947e-05	7.98223076923077e-06
23	Staphylococcus_condimenti	4.61121108915293	-0.310324728126307	0.256664197782612	-1.20906901237992	0.226636332983429	0.700355946173627	7.14568421052632e-06	3.87509615384615e-06
24	Staphylococcus_felis	4.74452544330946	-0.178522616749282	0.278395827475199	-0.641254642242027	0.521357253297513	0.866354069865418	3.95657894736842e-06	3.48117307692308e-06
25	Staphylococcus_piscifermentans	1.95819809999317	-0.176134956258769	0.338145125106029	-0.520885688366911	0.602446405777646	0.904631012080127	2.94986842105263e-06	1.74698076923077e-06
26	Staphylococcus_saprophyticus	11.4130163488639	-0.144579922108305	0.229064164547221	-0.631176519444183	0.527925112996375	0.871651309525322	9.3825e-06	1.32479423076923e-05
27	Staphylococcus_schweitzeri	4.67272818344235	0.516438092462078	0.320834086267988	1.60967339371386	0.107469176310056	0.522834669241036	7.84728947368421e-06	4.10180769230769e-06
28	Staphylococcus_sp._M0911	4.43156226928647	-0.502734401481681	0.282848150636346	-1.77740034838707	0.0755023935093365	0.458686494124333	4.01426315789474e-06	1.09467692307692e-05
29	Staphylococcus_sp._SDB_2975	3.69248067880539	-0.395437865509325	0.348187264026094	-1.13570456580425	0.256080229089086	0.718698135233293	6.60673684210526e-06	2.54782692307692e-06
30	Staphylococcus_carnosus	5.04454154891895	0.44006003512811	0.251652949526139	1.74867823308545	0.0803466546571779	0.472344872855364	5.50121052631579e-06	4.81328846153846e-06
31	Staphylococcus_pseudintermedius	6.32583814035694	-0.786038882734729	0.338749835000073	-2.32041111616943	0.0203186481185968	0.262197023062318	7.22960526315789e-06	4.97229615384615e-06
32	Staphylococcus_pettenkoferi	7.67480192746821	-0.397666980691724	0.367139329193096	-1.08315004433255	0.278741829093022	0.742695833068702	7.00176315789474e-06	7.13453846153846e-06
33	Staphylococcus_lutrae	3.56116197390415	-0.907764883105563	0.285504785836288	-3.17950846409309	0.00147525060938877	0.0631580819713618	3.73402631578947e-06	2.56451923076923e-06
34	Staphylococcus_delphini	3.03179832915314	-0.425819159358875	0.227088937739308	-1.8751206624063	0.0607761255730882	0.418520245435416	2.96628947368421e-06	2.28396153846154e-06
35	Staphylococcus_auricularis	3.08832317558001	-0.368754706215687	0.222034194186217	-1.66080142550664	0.0967533347847207	0.497999130525599	3.57421052631579e-06	3.94161538461538e-06
36	Staphylococcus_muscae	2.82357126104794	-0.400095233798639	0.283819973322697	-1.40967962583711	0.158634303399197	0.623118532100895	3.71481578947368e-06	2.20896153846154e-06
37	Staphylococcus_hyicus	3.15804439250861	0.0908339305893628	0.223330888821663	0.406723544014088	0.684211046269073	0.921073833929859	2.10943421052632e-05	6.51471153846154e-06
38	Macrococcus_caseolyticus	3.64760985042569	-0.413200202755672	0.275894105656483	-1.49767680528177	0.134217240957463	0.575512780160831	3.14602631578947e-06	2.95911538461538e-06
39	Macrococcus_canis	2.84545163418796	-0.451643301221634	0.276291513217365	-1.63466223034624	0.102119874349737	0.506792597262997	2.51602105263158e-06	2.21092307692308e-06
40	Macrococcus_sp._IME1552	4.38537094712079	-0.147995381864601	0.187641871198743	-0.788711927242778	0.430280395209183	0.824534153852669	4.78692105263158e-06	3.91898076923077e-06
41	Auricoccus_indicus	4.18969115882917	-0.349040964550425	0.257085067038296	-1.35768665434943	0.174563133290556	0.642721596759399	3.47076315789474e-06	3.35944230769231e-06
42	Salinicoccus_halodurans	2.58156206128101	-0.141174707106466	0.249027060652766	-0.566905085481112	0.570778668879152	0.890167243561625	2.26434210526316e-06	2.16148076923077e-06
43	Jeotgalicoccus_saudimassiliensis	2.00804216752799	0.158868709018429	0.249372443161984	0.637074036746046	0.524076619343284	0.867659152770797	2.12994210526316e-06	1.83521153846154e-06
44	Sporosarcina_ureae	320.272931452915	0.10521640135688	0.140554208186606	0.748582363447918	0.454108965385911	0.840540450172599	0.0002652175	0.000294375769230769
45	Sporosarcina_psychrophila	5.58525805614849	0.110736602989682	0.20748254201206	0.533715279925793	0.593538535926194	0.901906121914674	4.41021052631579e-06	5.41915384615385e-06
46	Sporosarcina_pasteurii	2.43959463356761	0.466506486663698	0.251644028859601	1.85383491425491	0.0637627817623646	0.428104728474621	2.15826315789474e-06	2.67830769230769e-06
47	Sporosarcina_sp._PTS2304	2.93799927808696	-0.303478287583	0.233179526825899	-1.30147912946744	0.193094503776582	0.663528789208801	2.51481578947368e-06	2.52519230769231e-06
48	Planococcus_sp._MB_3u_03	23.6270514857379	0.0570838468497493	0.167107906122524	0.341598720098231	0.732652900538429	0.933747782852198	NA	NA
49	Planococcus_sp._PAMC_21323	2.27615168355927	0.103450417695484	0.254087368120822	0.407145063765198	0.68390144739259	0.921073833929859	1.88612631578947e-06	2.04467307692308e-06
50	Planococcus_sp._Y42	1.61208407992695	-0.287996141579471	0.326938317070899	-0.880888309940793	0.378378275338982	0.800140679460374	1.37523684210526e-06	1.43011538461538e-06
51	Planococcus_plakortidis	0.970973092251453	0.041807424519225	0.39779821192667	0.105097064958481	0.916298788231441	0.985407323629607	7.30894736842105e-07	9.02692307692308e-07
52	Planococcus_antarcticus	1.98294829430693	-0.63313031073111	0.299696353320943	-2.11257262130612	0.0346373641454036	0.332453427870206	2.01388947368421e-06	1.45288461538462e-06
53	Planococcus_halocryophilus	2.22212770146684	-0.05273496281653	0.24891317153045	-0.211860876996937	0.832215573354108	0.965790196567737	2.80913157894737e-06	2.05201923076923e-06
54	Planococcus_versutus	2.14148253763968	-0.296166173415648	0.283879886525373	-1.0432798781226	0.296818687623662	0.758513486139399	1.83034210526316e-06	1.98146923076923e-06
55	Rummeliibacillus_stabekisii	31.3663098367071	0.109138529867635	0.300363125221301	0.363355287994237	0.716339497536613	0.930006394328114	2.66803157894737e-05	2.92111346153846e-05
56	Solibacillus_sp._R5_41	4.20357988064815	-0.120927023908114	0.19296662425338	-0.62667326215609	0.530873433991723	0.871772755548683	NA	NA
57	Solibacillus_silvestris	5.5365859875444	-0.489224052919292	0.213894563775568	-2.28722060198135	0.0221829500959825	0.271797156226533	5.03815789473684e-06	4.22703846153846e-06
58	Kurthia_zopfii	6.54063563631651	-0.648644346582216	0.330544365887604	-1.96235184599328	0.0497215349398724	0.384971629034459	6.01239473684211e-06	4.90271153846154e-06
59	Kurthia_sp._11kri321	4.4222383627269	-0.155385934642163	0.26136614539597	-0.594514390556411	0.552168120201655	0.882673006993075	3.7611e-06	3.62426923076923e-06
60	Paenisporosarcina_sp._K2R23_3	1.54388589781512	-0.18478304011941	0.339025654657454	-0.54504146686513	0.58572499835513	0.899911544018125	NA	NA
61	Paenisporosarcina_antarctica	4.31831484318564	-0.0056610589994946	0.196047924997855	-0.0288758934814359	0.976963571818021	0.998441798950567	3.56488947368421e-06	4.11084615384615e-06
62	Ureibacillus_thermosphaericus	4.15153474744771	-0.153309665058786	0.191540623255559	-0.800402872523998	0.423477417249986	0.823722747111113	4.81928947368421e-06	3.704e-06
63	Jeotgalibacillus_malaysiensis	3.12826031601054	-0.196076521596384	0.217968582831434	-0.899563226265592	0.368352734473936	0.795038909104777	3.77876315789474e-06	2.59048076923077e-06
64	Bacillus_thuringiensis	79.5758115369908	-0.345273334045281	0.137776956597454	-2.50603107059532	0.0122094890304848	0.206652700381089	8.18269736842105e-05	7.31764423076923e-05
65	Bacillus_cereus	152.909950449735	0.711256499828746	0.289384291981077	2.45782690884706	0.0139780526797487	0.219083832916431	0.000109970947368421	0.000364783173076923
